title,category,content,tags,is_active,usage_count,created_by,id,created_date,updated_date,created_by_id,is_sample
"Project initiation & brief confirmation","scope","Run a structured 2-hour kickoff (onsite or virtual) and two 30-min follow-ups to confirm objectives, constraints, success criteria, and programme; produce an agreed 1-page brief, a stakeholder/contact register, a scope matrix, and a high-level Gantt (5–8 key milestones) issued as a single PDF pack within 2 working days.","[""project initiation"",""kickoff meeting"",""stakeholder engagement"",""scope definition"",""programme planning"",""brief development"",""project management""]","true","31","mitchell@lysaght.net.nz","689d42b200726bc539277bc6","2025-08-14T01:58:10.582000","2025-09-01T02:18:09.208000","689114bd8ff9b1e25eb9ba79",""
"Topographic & features survey","scope","Provide a 2-person field crew for 1 day (up to 8 hours) to capture breaklines, hard features, visible services, buildings, and tree locations; process and QA (6 hours) to deliver a georeferenced DWG/DXF, CSV point file, TIN/DTM with 0.20 m contours, spot levels at ~10 m grid, survey control report, and a plotted PDF at 1:500.","[""topographic survey"",""field survey"",""DWG"",""DXF"",""contour mapping"",""site levels"",""survey control""]","true","10","mitchell@lysaght.net.nz","689d42de766de83cc48d76c0","2025-08-14T01:58:54.608000","2025-08-27T02:34:53.674000","689114bd8ff9b1e25eb9ba79",""
"Desktop study & site reconnaissance","scope","Complete 6–10 hours of research (titles, easements, services records, planning maps/hazards, aerials) and a 1-hour site walkover with geo-tagged photos; deliver a 3–5 page risk/opportunity memo, a constraints/opportunities plan at 1:1000, and a data-gap list with next actions.","[""desktop study"",""site reconnaissance"",""planning maps"",""hazard identification"",""constraints analysis"",""site visit"",""land development""]","true","15","mitchell@lysaght.net.nz","689d42c8753347a06d5459ad","2025-08-14T01:58:32.432000","2025-08-29T03:04:41.817000","689114bd8ff9b1e25eb9ba79",""
"Boundary re-establishment / cadastral","scope","Undertake title/cadastral research (2–3 hours), re-establish boundaries and set 4 boundary marks/pegs plus two reference marks, and prepare a legal/cadastral plan at 1:1000 with survey report; issue CAD dataset and pegging diagram with coordinates to 3 decimal places and photos of set marks.","[""cadastral survey"",""boundary re-establishment"",""title research"",""pegging"",""legal plan"",""boundary definition""]","true","5","mitchell@lysaght.net.nz","689d42f5753347a06d545b7c","2025-08-14T01:59:17.008000","2025-08-29T03:07:27.732000","689114bd8ff9b1e25eb9ba79",""
"Planning & consenting package ","scope","Compile an application: prepare an Assessment of Effects (10–15 pages), application forms, planning map extracts, and planning assessment checklist; coordinate one pre-app (30 minutes) and include one RFI response round (up to 4 hours) with a tracked-changes log.","[""planning"",""consenting"",""assessment of effects"",""RMA"",""application preparation"",""council liaison""]","true","1","mitchell@lysaght.net.nz","689d439bfbb98ccaab9fc1ee","2025-08-14T02:02:03.434000","2025-08-28T19:55:52.571000","689114bd8ff9b1e25eb9ba79",""
"Erosion & sediment control (ESC) & construction staging plan","scope","Prepare an ESC plan in 8–12 hours including device sizing calcs, staging diagrams (up to 3 stages), stabilized access detail, and inspection/maintenance checklist; provide a 1:1000 ESC plan sheet, a 3–5 page ESC methodology, and a weekly inspection template (fillable PDF).","[""erosion control"",""sediment control"",""construction staging"",""ESC plan"",""environmental management""]","true","1","mitchell@lysaght.net.nz","689d436d5db789f2b9b75d68","2025-08-14T02:01:17.250000","2025-08-14T02:18:21.102000","689114bd8ff9b1e25eb9ba79",""
"Detailed civil design & documentation","scope","Develop IFC-ready documentation including: horizontal/vertical geometry, long sections (every 20 m), 5–10 typical details, pipe schedules, earthworks model with volume report, and hydrology/hydraulic calculations; deliver a drawing set of 15–25 sheets (A3), a 20–30 page technical report, CAD models, and a consolidated PDF. 25 hours allowed for. ","[""detailed design"",""civil engineering"",""IFC drawings"",""hydrology"",""hydraulic design"",""CAD documentation""]","true","2","mitchell@lysaght.net.nz","689d435bcd6f70a5e466f979","2025-08-14T02:00:59.517000","2025-08-29T03:04:54.691000","689114bd8ff9b1e25eb9ba79",""
"Concept civil design","scope","Prepare one serviced concept layout (earthworks strategy, access geometry, typical cross-sections, preliminary three-waters routes) with a 1:1000 plan, 2–3 typical details, and an outline cost estimate (±30–40%) tabulated by discipline; hold one 60-min review and issue a 4–6 page concept memo. 16 hours time allocation. ","[""concept design"",""civil engineering"",""earthworks strategy"",""access design"",""three-waters"",""cost estimation""]","true","2","mitchell@lysaght.net.nz","689d4324186c30ff1b434f06","2025-08-14T02:00:04.723000","2025-08-19T01:39:33.973000","689114bd8ff9b1e25eb9ba79",""
"Project controls & reporting","scope","Set up and maintain a live action/RFI/register and issue fortnightly progress updates (two paragraphs + updated Gantt); allocate 1.5 hours/week for coordination, risk/issue tracking, and decision logs, with a single monthly summary PDF (1 page) suitable for client steering meetings.","[""project controls"",""reporting"",""progress updates"",""risk management"",""coordination"",""project tracking""]","true","","mitchell@lysaght.net.nz","689d43adef58901640cd9404","2025-08-14T02:02:21.236000","2025-08-14T02:02:21.236000","689114bd8ff9b1e25eb9ba79",""
"Construction set-out, monitoring & close-out","scope","Provide one set-out visit (up to 8 hours) to establish control and set ~30 points (stringline/offsets) with a point list PDF; attend two hold-point inspections (2 hours each) and issue inspection notes within 24 hours; complete a final as-built capture (1 field day + 6 hours office) and deliver record drawings (6–10 sheets), updated DWG/DXF, attribute table/asset schedule (CSV), and a 1-page compliance letter.","[""construction set-out"",""construction monitoring"",""as-built survey"",""record drawings"",""compliance certification"",""project close-out""]","true","1","mitchell@lysaght.net.nz","689d450310cddb98dc490e5b","2025-08-14T02:08:03.667000","2025-08-29T03:07:33.555000","689114bd8ff9b1e25eb9ba79",""
