client_id,project_title,version,status,document_url,signature_status,scope_of_work,fee_structure,total_fee,total_fee_with_gst,sent_date,signed_date,expiry_date,ai_tags,id,created_date,updated_date,created_by_id,created_by,is_sample
"","Ebbett Tauriko Development - Civil Engineering Services","1.0","draft","","pending","Civil engineering design of landform, pavement, and three-waters services to support application for Building Consent with Tauranga City Council. Undertake detailed topographic survey of existing site to inform design levels. Provide civil construction monitoring service to allow provision of a PS4 at the completion of works.","[{""description"":""Project Administration - Allowances for 1x kickoff meeting at Fosters and then fortnightly 1hr design teams meetings for 4 months. Includes general admin, client comms, account management"",""cost"":3898,""time_estimate"":""16 weeks""},{""description"":""Topographic Survey - Detailed topographic survey of the site to allow detailed levels model to be developed"",""cost"":4800,""time_estimate"":""1 weeks notice, 1 week for delivery""},{""description"":""Building Consent Design – Civil Services - Earthworks/landform development, stormwater drainage design, wastewater and water demand calculations"",""cost"":12320,""time_estimate"":""16 weeks""},{""description"":""Construction Monitoring (PROVISIONAL) - Provision of CM3 level construction monitoring of earthworks, pavement and drainage"",""cost"":7980,""time_estimate"":""3 months""}]","28998","33347.7","","","","[""civil_engineering"",""building_consent"",""topographic_survey"",""construction_monitoring""]","6891177fa20d3789601dfdb3","2025-08-04T20:26:39.050000","2025-08-04T20:26:39.050000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584c","13 Dream Street - Soakage Design","1.0","signed","","client_signed","The scope of work for the soakage design project at 13 Dream Street involves comprehensive site assessments and hydrological studies to determine optimal soakage solutions for the residential subdivision. Our engineering consultancy will undertake detailed analysis of soil permeability, groundwater levels, and existing drainage patterns, coupled with the assessment of potential environmental impacts. This will ensure compliance with local Auckland regulations and environmental standards, providing sustainable soakage solutions that effectively manage stormwater runoff while minimizing detrimental effects on surrounding ecosystems.

Following the initial assessment, we will develop a detailed soakage design plan that outlines the proposed methodologies for stormwater management. This plan will include the specifications for soakage pits or trenches, calculations for sizing based on peak runoff rates, and technical drawings necessary for construction. We will also provide recommendations for maintenance and monitoring to ensure the long-term effectiveness of the soakage system. Ongoing collaboration with the client and relevant stakeholders is essential throughout the project to ensure that all designs meet functional requirements and regulatory obligations.

• Civil engineering design of landform, pavement, and three-waters services

• Provide civil construction monitoring service to allow provision of a PS4

• Allowance for 4hrs of responding to RFI's, actual costs charged on time basis","[{""description"":""Initial site assessment and hydrological study"",""cost"":3000,""time_estimate"":""2 weeks"",""staff_breakdown"":[]},{""description"":""Development of soakage design plan including specifications and drawings"",""cost"":5000,""time_estimate"":""3 weeks"",""staff_breakdown"":[]},{""description"":""Preparation of final report and documentation for regulatory approval"",""cost"":2000,""time_estimate"":""1 week"",""staff_breakdown"":[]},{""description"":""Consultation with local authorities and stakeholders"",""cost"":1500,""time_estimate"":""1 week"",""staff_breakdown"":[]}]","11500","13225","2025-08-04","2025-08-05","2025-11-02","[""Soakage Design"",""Civil Engineering"",""Stormwater Management"",""Residential Subdivision"",""Auckland Engineering Standards""]","6891184a9c1ab528e477ac82","2025-08-04T20:30:02.637000","2025-08-05T00:20:24.451000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584d","Latest Project","1.0","signed","","client_signed","The scope of work for the engineering consultancy project for Bay Property Group involves comprehensive civil engineering services for the development of a new office complex in Tauranga. This project will encompass feasibility studies, site investigations, and the design of civil infrastructure, including earthworks, pavement design, stormwater management, and utilities coordination. Our team will provide detailed engineering analyses and simulations to ensure compliance with local regulations and building codes, while also addressing sustainability and environmental considerations in the design process.

Throughout the project, we will collaborate closely with the client and other stakeholders, providing regular updates and opportunities for feedback during design reviews. The consultancy services will also include the preparation of all necessary documentation, including resource consent applications and detailed engineering reports. Additionally, we will offer oversight during the construction phase to ensure that the works proceed according to the design specifications and within the established budget and timeline.
• Provide civil construction monitoring service to allow provision of a PS4","[{""description"":"""",""cost"":3600,""time_estimate"":""20 hours"",""staff_breakdown"":[{""role"":""Intermediate Engineer"",""hours"":20,""rate"":180,""cost"":3600}]}]","3600","4140","","2025-08-05","","[""civil engineering"",""consultancy services"",""office development"",""Tauranga"",""infrastructure design"",""resource consent"",""sustainability"",""project management""]","68914aa2e2b0d44f9ca5f103","2025-08-05T00:04:50.644000","2025-08-05T00:12:13.364000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584b","Foster Construction BOP Ltd Project","1.0","signed","","fully_executed","To be defined
• Provide civil construction monitoring service to allow provision of a PS4
• Undertake detailed topographic survey of existing site to inform design levels","[{""description"":""SDFSF"",""cost"":1100,""time_estimate"":""5 hours"",""staff_breakdown"":[{""role"":""senior"",""hours"":5,""rate"":220,""cost"":1100}]}]","1100","1265","","2025-08-07","","[]","68914d6a04ad38aca8bb27bd","2025-08-05T00:16:42.775000","2025-08-07T02:07:54.660000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584c","Greatest Project","1.0","signed","","client_signed","• Civil engineering design of landform, pavement, and three-waters services
• Undertake detailed topographic survey of existing site to inform design levels
• Provide civil construction monitoring service to allow provision of a PS4","[{""description"":""Project Admin"",""cost"":880,""time_estimate"":""4 hours"",""staff_breakdown"":[{""role"":""senior"",""hours"":4,""rate"":220,""cost"":880}]}]","880","1012","","2025-08-05","","[]","68915177d5c442b29cb75e59","2025-08-05T00:33:59.832000","2025-08-05T00:49:10.257000","anonymous","anonymous",""
"689115a406fec7e46125584b","Emily Place subdivision","1.0","signed","","pending","This project entails the comprehensive engineering consultancy services needed for the Emily Place subdivision, a residential development led by Foster Construction BOP Ltd in Tauranga. The scope includes detailed site analysis, civil engineering design services for utilities (water, wastewater, and stormwater management), roadworks, and infrastructure development essential to support the subdivision. The consultant will perform geotechnical investigations, topographical and boundary surveys, as well as prepare engineering plans and specifications that meet local council regulations and NZ standards. Additionally, project management services will be provided, including liaising with local authorities and stakeholders to ensure project compliance and coordination throughout the various phases of design and construction. 

We will also prepare documentation for resource consents and building consents, facilitating the environmental assessment and adherence to the Reserves Act if applicable. The consultancy will engage in regular project monitoring and reporting to keep the client informed of the progress and any challenges encountered. All designs will be informed by local environmental considerations, and sustainability practices will be integrated where feasible to enhance community resilience.","[{""description"":"""",""cost"":4400,""time_estimate"":""20 hours"",""staff_breakdown"":[{""role"":""senior"",""hours"":20,""rate"":220,""cost"":4400}]}]","4400","5060","","2025-08-05","","[""Civil Engineering"",""Consultancy"",""Tauranga"",""Subdivision Development"",""Infrastructure Design"",""Project Management""]","6891764de2b0d44f9ca75807","2025-08-05T03:11:09.176000","2025-08-05T03:29:31.127000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584d","Bay Property Group Project","1.0","signed","","fully_executed","To be defined
• Civil engineering design of landform, pavement, and three-waters services
• Undertake detailed topographic survey of existing site to inform design levels
• Provide civil construction monitoring service to allow provision of a PS4","[{""description"":""dfssf"",""cost"":360,""time_estimate"":""2 hours"",""staff_breakdown"":[{""role"":""intermediate"",""hours"":2,""rate"":180,""cost"":360}]}]","360","414","","2025-08-07","","[]","689177d255829ac5155a9510","2025-08-05T03:17:38.259000","2025-08-07T01:41:24.041000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689262ebf9a00423b8ab3c72","Mike Stott Holdings Project","1.0","signed","","fully_executed","The scope of work for the Mike Stott Holdings Project involves comprehensive civil engineering consultancy services focused on site assessments, design, and project management for an upcoming development initiative. The consultancy will conduct thorough preliminary site investigations to assess soil quality, geotechnical conditions, and hydrological factors that may affect the proposed development. Subsequently, the team will prepare detailed engineering designs and plans that comply with local regulations and adhere to industry best practices. This phase will also include the development of environmental management plans, addressing sustainability considerations and potential impacts on the surrounding ecosystem.

Following the design phase, the consultancy will oversee project management activities, ensuring that the construction processes are executed efficiently and within agreed timelines. This includes coordinating with contractors, monitoring compliance with the design specifications, and reviewing progress against the project schedule. Regular communication with the client, Mike Stott Holdings, will be maintained throughout the project to ensure alignment with client expectations and address any emerging issues promptly. This consultancy aims to deliver a successful project outcome that meets the operational needs of the client while ensuring compliance with New Zealand civil engineering standards.","[{""description"":""Admin"",""cost"":640,""time_estimate"":""4 hours"",""staff_breakdown"":[{""role"":""graduate"",""hours"":4,""rate"":160,""cost"":640}]}]","640","736","","2025-08-07","","[""Civil Engineering"",""Consultancy Services"",""Project Management"",""Site Assessment"",""Environmental Engineering"",""New Zealand Standards""]","689262f333513a02af977f6d","2025-08-05T20:00:51.153000","2025-08-07T00:41:21.963000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
"689115a406fec7e46125584c","Latest Project","1.0","signed","","fully_executed","• Provide civil construction monitoring service to allow provision of a PS4
• Undertake detailed topographic survey of existing site to inform design levels
• Civil engineering design of landform, pavement, and three-waters services
• Undertake detailed topographic survey of existing site to inform design levels and site constraints.
• Provide civil construction monitoring service to allow provision of a PS4 at the completion of works. This item is provisional, depending on Building Consent conditions.","[{""description"":""New project"",""cost"":900,""time_estimate"":""5 hours"",""staff_breakdown"":[{""role"":""intermediate"",""hours"":5,""rate"":180,""cost"":900}]}]","900","1035","","2025-08-07","","[]","689401cd9e66bb671fb4b465","2025-08-07T01:30:53.799000","2025-08-07T01:42:17.401000","6893ff3a79567fab879048a7","mitchellhales@gmail.com",""
"689115a406fec7e46125584d","sfsf","1.0","signed","","fully_executed","• Provide civil construction monitoring service to allow provision of a PS4
• Undertake detailed topographic survey of existing site to inform design levels","[{""description"":"""",""cost"":660,""time_estimate"":""3 hours"",""staff_breakdown"":[{""role"":""senior"",""hours"":3,""rate"":220,""cost"":660}]}]","660","759","","2025-08-07","","[]","68940cd2fe6bf02b4a12f409","2025-08-07T02:17:54.424000","2025-08-07T02:47:19.704000","689114bd8ff9b1e25eb9ba79","mitchell@lysaght.net.nz",""
